iter	Passed	Remaining
328	6706	8581
329	6725	8559
330	6745	8539
331	6767	8520
332	6787	8499
333	6806	8477
334	6826	8456
335	6845	8435
336	6864	8412
337	6884	8391
338	6905	8372
339	6925	8351
340	6944	8329
341	6963	8307
342	6984	8287
343	7005	8268
344	7025	8247
345	7045	8226
346	7064	8204
347	7083	8182
348	7105	8164
349	7123	8141
350	7145	8122
351	7164	8100
352	7185	8081
353	7205	8060
354	7225	8039
355	7244	8017
356	7263	7995
357	7283	7975
358	7302	7953
359	7323	7933
360	7342	7911
361	7362	7891
362	7382	7870
363	7403	7851
364	7422	7828
365	7441	7807
366	7463	7788
367	7483	7768
368	7502	7746
369	7521	7724
370	7540	7703
371	7561	7683
372	7581	7663
373	7601	7642
374	7621	7621
375	7642	7601
376	7661	7580
377	7683	7561
378	7702	7540
379	7722	7519
380	7743	7499
381	7762	7478
382	7783	7458
383	7802	7436
384	7823	7416
385	7844	7397
386	7863	7375
387	7886	7358
388	7909	7340
389	7932	7321
390	7953	7302
391	7984	7291
392	8014	7280
393	8042	7267
394	8072	7254
395	8099	7240
396	8126	7225
397	8154	7211
398	8174	7191
399	8194	7169
400	8213	7148
401	8235	7129
402	8257	7110
403	8279	7090
404	8300	7070
405	8320	7049
406	8340	7028
407	8361	7009
408	8380	6987
409	8401	6967
410	8420	6945
411	8441	6925
412	8462	6905
413	8483	6885
414	8503	6864
415	8523	6843
416	8544	6823
417	8565	6803
418	8567	6768
419	8588	6748
420	8608	6727
421	8628	6706
422	8651	6687
423	8670	6666
424	8689	6644
425	8708	6623
426	8728	6602
427	8748	6581
428	8767	6560
429	8787	6539
430	8808	6519
431	8827	6498
432	8845	6476
433	8865	6455
434	8885	6434
435	8905	6413
436	8926	6393
437	8948	6374
438	8970	6355
439	8992	6335
440	9013	6315
441	9033	6294
442	9052	6273
443	9071	6252
444	9093	6232
445	9115	6213
446	9135	6192
447	9157	6173
448	9179	6153
449	9199	6132
450	9220	6113
451	9239	6091
452	9259	6070
453	9279	6050
454	9299	6029
455	9318	6008
456	9340	5988
457	9359	5967
458	9382	5948
459	9402	5927
460	9423	5907
461	9442	5886
462	9461	5864
463	9480	5843
464	9499	5822
465	9518	5801
466	9540	5781
467	9561	5761
468	9580	5740
469	9599	5719
470	9620	5698
471	9641	5678
472	9660	5657
473	9680	5636
474	9699	5615
475	9719	5594
476	9739	5574
477	9759	5553
478	9778	5532
479	9797	5511
480	9817	5490
481	9839	5470
482	9861	5451
483	9880	5430
484	9901	5410
485	9922	5389
486	9941	5369
487	9960	5347
488	9981	5327
489	10000	5306
490	10020	5285
491	10041	5265
492	10060	5244
493	10079	5223
494	10099	5202
495	10118	5181
496	10140	5161
497	10159	5140
498	10179	5120
499	10200	5100
500	10218	5078
501	10239	5058
502	10260	5038
503	10285	5020
504	10306	5000
505	10329	4980
506	10352	4961
507	10374	4942
508	10394	4921
509	10413	4900
510	10432	4879
511	10454	4859
512	10475	4839
513	10496	4819
514	10516	4798
515	10536	4778
516	10556	4757
517	10576	4737
518	10596	4716
519	10617	4696
520	10640	4676
521	10665	4658
522	10688	4639
523	10712	4620
524	10734	4600
525	10755	4580
526	10776	4560
527	10797	4539
528	10815	4518
529	10835	4497
530	10855	4477
531	10874	4456
532	10893	4434
533	10914	4414
534	10934	4394
535	10956	4374
536	10979	4354
537	11005	4336
538	11028	4317
539	11051	4297
540	11072	4277
541	11091	4256
542	11112	4236
543	11131	4215
544	11151	4194
545	11170	4173
546	11190	4153
547	11210	4132
548	11229	4111
549	11248	4090
550	11269	4069
551	11290	4049
552	11310	4029
553	11334	4010
554	11358	3990
555	11380	3970
556	11401	3950
557	11421	3929
558	11440	3909
559	11460	3888
560	11479	3867
561	11499	3846
562	11519	3826
563	11537	3805
564	11557	3784
565	11578	3763
566	11600	3744
567	11623	3724
568	11647	3705
569	11670	3685
570	11689	3664
571	11710	3644
572	11732	3624
573	11751	3603
574	11771	3582
575	11791	3562
576	11812	3541
577	11834	3521
578	11854	3500
579	11875	3480
580	11896	3460
581	11917	3440
582	11943	3421
583	11964	3401
584	11985	3380
585	12006	3360
586	12026	3339
587	12045	3318
588	12063	3297
589	12084	3277
590	12105	3256
591	12126	3236
592	12148	3216
593	12167	3195
594	12187	3174
595	12208	3154
596	12233	3135
597	12257	3115
598	12280	3095
599	12304	3076
600	12326	3055
601	12346	3035
602	12366	3014
603	12387	2994
604	12406	2973
605	12428	2953
606	12448	2932
607	12468	2912
608	12490	2891
609	12511	2871
610	12533	2851
611	12554	2830
612	12576	2810
613	12600	2790
614	12621	2770
615	12643	2750
616	12665	2730
617	12687	2709
618	12707	2689
619	12729	2669
620	12750	2648
621	12773	2628
622	12793	2608
623	12814	2587
624	12834	2566
625	12857	2546
626	12878	2526
627	12898	2505
628	12920	2485
629	12942	2465
630	12961	2444
631	12981	2423
632	13001	2403
633	13021	2382
634	13041	2361
635	13062	2341
636	13082	2320
637	13101	2299
638	13121	2279
639	13141	2258
640	13163	2238
641	13186	2218
642	13207	2197
643	13230	2177
644	13251	2157
645	13270	2136
646	13289	2115
647	13310	2095
648	13330	2074
649	13352	2054
650	13373	2033
651	13394	2013
652	13415	1992
653	13435	1972
654	13456	1951
655	13477	1931
656	13497	1910
657	13519	1890
658	13539	1869
659	13560	1849
660	13580	1828
661	13600	1807
662	13620	1787
663	13639	1766
664	13659	1745
665	13679	1725
666	13700	1704
667	13720	1684
668	13740	1663
669	13759	1642
670	13779	1622
671	13799	1601
672	13818	1581
673	13838	1560
674	13860	1540
675	13879	1519
676	13898	1498
677	13920	1478
678	13943	1458
679	13966	1437
680	13989	1417
681	14012	1397
682	14032	1376
683	14053	1355
684	14073	1335
685	14092	1314
686	14112	1294
687	14134	1273
688	14153	1253
689	14173	1232
690	14193	1211
691	14214	1191
692	14238	1171
693	14258	1150
694	14278	1129
695	14298	1109
696	14317	1088
697	14338	1068
698	14359	1047
699	14379	1027
700	14399	1006
701	14421	986
702	14441	965
703	14461	944
704	14480	924
705	14504	903
706	14530	883
707	14554	863
708	14577	842
709	14598	822
710	14619	801
711	14640	781
712	14661	760
713	14681	740
714	14703	719
715	14722	699
716	14741	678
717	14762	657
718	14781	637
719	14801	616
720	14822	596
721	14843	575
722	14865	555
723	14887	534
724	14908	514
725	14929	493
726	14951	473
727	14970	452
728	14989	431
729	15008	411
730	15028	390
731	15046	369
732	15066	349
733	15088	328
734	15107	308
735	15129	287
736	15149	267
737	15169	246
738	15187	226
739	15207	205
740	15227	184
741	15246	164
742	15266	143
743	15288	123
744	15308	102
745	15327	82
746	15346	61
747	15366	41
748	15384	20
749	15403	0
